"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 20:13:30 GMT 2024","Wed May 29 20:13:33 GMT 2024","2919","","","","","","Verify the user can not login with invalid credentials -- @1.3 ",""
"passed","Wed May 29 20:13:25 GMT 2024","Wed May 29 20:13:28 GMT 2024","2512","","","","","","Verify the user can not login with invalid credentials -- @1.1 ",""
"passed","Wed May 29 20:13:19 GMT 2024","Wed May 29 20:13:25 GMT 2024","6146","","","","","","Verify the user can login with valid credentials -- @1.1 ",""
"passed","Wed May 29 20:13:33 GMT 2024","Wed May 29 20:13:36 GMT 2024","2714","","","","","","Verify the user can not login with invalid credentials -- @1.4 ",""
"passed","Wed May 29 20:13:28 GMT 2024","Wed May 29 20:13:30 GMT 2024","2551","","","","","","Verify the user can not login with invalid credentials -- @1.2 ",""
