"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 20:11:03 GMT 2024","Wed May 29 20:11:06 GMT 2024","2676","","","","","","Verify the user can not login with invalid credentials -- @1.2 ",""
"passed","Wed May 29 20:11:06 GMT 2024","Wed May 29 20:11:09 GMT 2024","2733","","","","","","Verify the user can not login with invalid credentials -- @1.3 ",""
"passed","Wed May 29 20:11:09 GMT 2024","Wed May 29 20:11:11 GMT 2024","2550","","","","","","Verify the user can not login with invalid credentials -- @1.4 ",""
"passed","Wed May 29 20:11:01 GMT 2024","Wed May 29 20:11:03 GMT 2024","2499","","","","","","Verify the user can not login with invalid credentials -- @1.1 ",""
"passed","Wed May 29 20:10:56 GMT 2024","Wed May 29 20:11:01 GMT 2024","5350","","","","","","Verify the user can login with valid credentials -- @1.1 ",""
