"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 19:57:51 GMT 2024","Wed May 29 19:57:53 GMT 2024","2613","","","","","","Verify the user can not login with invalid credentials -- @1.2 ",""
"passed","Wed May 29 19:57:56 GMT 2024","Wed May 29 19:57:58 GMT 2024","2511","","","","","","Verify the user can not login with invalid credentials -- @1.4 ",""
"passed","Wed May 29 19:57:53 GMT 2024","Wed May 29 19:57:56 GMT 2024","2575","","","","","","Verify the user can not login with invalid credentials -- @1.3 ",""
"passed","Wed May 29 19:57:48 GMT 2024","Wed May 29 19:57:51 GMT 2024","2867","","","","","","Verify the user can not login with invalid credentials -- @1.1 ",""
"passed","Wed May 29 19:57:42 GMT 2024","Wed May 29 19:57:48 GMT 2024","5370","","","","","","Verify the user can login with valid credentials -- @1.1 ",""
