"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 20:14:42 GMT 2024","Wed May 29 20:14:45 GMT 2024","2848","","","","","","Verify the user can not login with invalid credentials -- @1.4 ",""
"passed","Wed May 29 20:14:31 GMT 2024","Wed May 29 20:14:34 GMT 2024","3314","","","","","","Verify the user can login with valid credentials -- @1.1 ",""
"passed","Wed May 29 20:14:37 GMT 2024","Wed May 29 20:14:40 GMT 2024","2541","","","","","","Verify the user can not login with invalid credentials -- @1.2 ",""
"passed","Wed May 29 20:14:34 GMT 2024","Wed May 29 20:14:37 GMT 2024","2627","","","","","","Verify the user can not login with invalid credentials -- @1.1 ",""
"passed","Wed May 29 20:14:40 GMT 2024","Wed May 29 20:14:42 GMT 2024","2762","","","","","","Verify the user can not login with invalid credentials -- @1.3 ",""
